temperature,humidity,horizontal_radiation,normal_radiation,heating,cooling,ventilation,gains
6.5,97.81,71.33,33.98,77.12,0.0,0,138.6
6.55,96.61,112.92,25.66,77.47,0.0,0,138.6
6.68,94.9,136.25,19.36,70.58,0.0,0,138.6
6.85,92.34,135.08,11.97,96.16,0.0,0,138.6
7.06,89.81,123.08,10.37,61.17,0.0,0,138.6
7.68,85.85,89.42,10.46,73.78,0.0,0,138.6
8.11,83.18,57.75,30.68,75.72,0.0,0,138.6
7.69,84.72,5.58,3.37,126.93,0.0,0,138.6
6.57,88.2,0.0,0.0,114.66,0.0,0,138.6
5.84,89.99,0.0,0.0,142.11,0.0,0,138.6
5.67,90.81,0.0,0.0,144.34,0.0,0,138.6
5.48,91.95,0.0,0.0,148.62,0.0,0,138.6
5.4,92.95,0.0,0.0,150.78,0.0,0,138.6
5.34,93.45,0.0,0.0,178.99,0.0,0,138.6
5.37,94.1,0.0,0.0,167.97,0.0,0,138.6
5.34,94.32,0.0,0.0,168.89,0.0,0,138.6
5.6,93.32,0.0,0.0,141.74,0.0,0,138.6
6.26,91.71,0.0,0.0,160.16,0.0,0,138.6
6.53,91.0,0.0,0.0,116.62,0.0,0,138.6
6.45,91.73,0.0,0.0,158.18,0.0,0,138.6
6.21,93.48,0.0,0.0,125.05,0.0,0,138.6
6.03,94.88,0.0,0.0,162.79,0.0,0,138.6
6.16,95.05,0.0,0.0,150.62,0.0,0,138.6
6.33,94.99,10.5,5.49,139.59,0.0,0,138.6
6.44,95.08,62.33,29.63,94.87,0.0,0,138.6
6.9,94.05,73.58,10.6,109.63,0.0,0,138.6
7.62,93.21,139.08,117.64,18.45,0.0,0,138.6
8.51,93.06,134.75,446.6,0.0,0.0,0,138.6
9.37,92.33,138.58,326.84,1.43,0.0,0,138.6
9.98,91.44,111.17,69.69,0.0,0.0,0,138.6
10.4,90.95,59.83,36.62,53.22,0.0,0,138.6
10.19,92.4,14.33,72.16,78.85,0.0,0,138.6
9.56,93.99,0.0,0.0,44.91,0.0,0,138.6
9.19,94.15,0.0,0.0,93.27,0.0,0,138.6
9.15,93.99,0.0,0.0,75.85,0.0,0,138.6
9.19,93.8,0.0,0.0,51.41,0.0,0,138.6
9.21,93.64,0.0,0.0,88.18,0.0,0,138.6
9.22,93.75,0.0,0.0,75.72,0.0,0,138.6
9.2,94.0,0.0,0.0,52.05,0.0,0,138.6
9.16,93.92,0.0,0.0,90.58,0.0,0,138.6
9.02,93.95,0.0,0.0,54.11,0.0,0,138.6
8.94,93.9,0.0,0.0,101.74,0.0,0,138.6
8.92,93.95,0.0,0.0,91.57,0.0,0,138.6
8.75,94.75,0.0,0.0,60.9,0.0,0,138.6
8.4,96.21,0.0,0.0,83.97,0.0,0,138.6
8.21,96.93,0.0,0.0,115.7,0.0,0,138.6
8.21,97.04,0.0,0.0,76.13,0.0,0,138.6
8.36,96.87,13.42,29.92,67.52,0.0,0,138.6
8.57,96.88,80.42,132.57,32.99,0.0,0,138.6
8.68,96.01,130.5,189.39,32.22,0.0,0,138.6
9.36,94.28,153.58,124.57,10.48,0.0,0,138.6
10.38,91.36,130.42,40.58,13.73,0.0,0,138.6
11.05,88.84,151.67,123.16,0.0,0.0,0,138.6
10.73,88.73,105.42,88.5,0.0,0.0,0,138.6
10.1,90.46,58.83,283.12,45.09,0.0,0,138.6
10.24,90.58,13.58,47.39,14.06,0.0,0,138.6
9.74,92.83,0.0,0.0,56.63,0.0,0,138.6
9.27,95.2,0.0,0.0,84.79,0.0,0,138.6
9.4,94.66,0.0,0.0,41.37,0.0,0,138.6
9.75,93.34,0.0,0.0,68.8,0.0,0,138.6
10.21,91.98,0.0,0.0,46.92,0.0,0,138.6
10.45,90.5,0.0,0.0,40.35,0.0,0,138.6
10.56,89.18,0.0,0.0,40.15,0.0,0,138.6
10.72,88.32,0.0,0.0,36.98,0.0,0,138.6
10.73,88.08,0.0,0.0,13.79,0.0,0,138.6
10.8,88.42,0.0,0.0,47.2,0.0,0,138.6
10.92,89.18,0.0,0.0,31.92,0.0,0,138.6
10.9,90.25,0.0,0.0,12.31,0.0,0,138.6
10.93,90.75,0.0,0.0,43.82,0.0,0,138.6
10.94,91.13,0.0,0.0,12.15,0.0,0,138.6
10.97,91.34,0.0,0.0,40.65,0.0,0,138.6
11.07,90.92,5.83,0.0,7.8,0.0,0,138.6
11.49,89.69,46.0,5.33,0.0,0.0,0,138.6
11.89,87.22,111.58,25.43,0.0,0.0,0,138.6
11.97,86.71,125.67,9.18,0.0,0.0,0,138.6
11.64,88.82,118.92,6.98,0.0,0.0,0,138.6
11.55,89.63,142.67,60.6,0.0,0.0,0,138.6
11.91,89.28,119.08,232.09,0.0,0.0,0,138.6
12.37,87.1,54.25,417.11,0.0,0.0,0,138.6
12.17,85.89,14.33,165.81,0.0,0.0,0,138.6
10.92,87.47,0.0,0.0,0.0,0.0,0,138.6
10.03,88.8,0.0,0.0,0.0,0.0,0,138.6
9.61,90.19,0.0,0.0,57.69,0.0,0,138.6
9.16,92.14,0.0,0.0,73.15,0.0,0,138.6
8.7,93.24,0.0,0.0,57.44,0.0,0,138.6
8.46,93.25,0.0,0.0,101.79,0.0,0,138.6
8.79,92.6,0.0,0.0,53.26,0.0,0,138.6
9.34,91.72,0.0,0.0,176.04,0.0,0,13.86
9.82,91.35,0.0,0.0,146.73,0.0,0,13.86
10.36,91.32,0.0,0.0,151.91,0.0,0,13.86
10.94,91.39,0.0,0.0,130.72,0.0,0,13.86
11.45,91.86,0.0,0.0,118.86,0.0,0,13.86
11.83,92.44,0.0,0.0,109.47,0.0,0,13.86
12.11,92.77,0.0,0.0,104.21,0.0,0,13.86
12.33,92.94,0.0,0.0,84.25,0.0,0,13.86
12.46,92.94,11.42,6.41,78.84,0.0,0,13.86
12.57,92.75,63.92,14.8,74.76,0.0,0,13.86
12.66,92.56,93.25,5.47,59.28,0.0,0,13.86
12.72,92.73,128.83,11.72,47.8,0.0,0,13.86
12.76,93.08,153.17,28.27,42.69,0.0,0,13.86
12.83,93.29,145.83,37.24,48.74,0.0,0,13.86
12.82,93.26,119.92,79.81,58.95,0.0,0,13.86
12.79,92.94,71.33,137.81,57.82,0.0,0,13.86
12.77,93.07,17.0,57.59,106.44,0.0,0,13.86
12.66,94.0,0.0,0.0,96.58,0.0,0,13.86
12.58,94.73,0.0,0.0,74.75,0.0,0,13.86
12.51,95.13,0.0,0.0,85.35,0.0,0,13.86
12.42,95.18,0.0,0.0,105.71,0.0,0,13.86
12.38,94.66,0.0,0.0,78.08,0.0,0,13.86
12.41,93.5,0.0,0.0,88.48,0.0,0,13.86
12.42,92.64,0.0,0.0,87.34,0.0,0,13.86
12.38,92.39,0.0,0.0,88.78,0.0,0,13.86
12.32,92.44,0.0,0.0,88.47,0.0,0,13.86
12.25,92.76,0.0,0.0,112.45,0.0,0,13.86
12.18,93.07,0.0,0.0,104.09,0.0,0,13.86
12.12,93.38,0.0,0.0,87.37,0.0,0,13.86
12.12,93.49,0.0,0.0,97.12,0.0,0,13.86
12.16,93.3,0.0,0.0,113.93,0.0,0,13.86
12.18,92.91,0.0,0.0,86.95,0.0,0,13.86
12.24,91.97,13.36,21.76,78.62,0.0,0,13.86
12.29,90.75,79.25,83.47,74.0,0.0,0,13.86
12.29,90.13,122.5,49.36,52.75,0.0,0,13.86
12.14,90.43,162.42,80.6,22.15,0.0,0,13.86
12.02,91.17,170.33,68.64,50.96,0.0,0,13.86
12.11,90.95,156.67,66.83,69.86,0.0,0,13.86
12.09,90.64,123.5,84.25,60.51,0.0,0,13.86
11.99,91.49,73.25,117.65,108.19,0.0,0,13.86
11.93,92.4,17.92,25.91,87.88,0.0,0,13.86
11.88,92.88,0.0,0.0,123.29,0.0,0,13.86
11.88,93.49,0.0,0.0,107.65,0.0,0,13.86
11.96,94.21,0.0,0.0,86.38,0.0,0,13.86
12.0,94.68,0.0,0.0,114.87,0.0,0,13.86
11.87,94.6,0.0,0.0,109.46,0.0,0,13.86
11.7,94.1,0.0,0.0,94.59,0.0,0,13.86
11.46,94.43,0.0,0.0,131.84,0.0,0,13.86
11.2,94.35,0.0,0.0,0.0,0.0,0,138.6
10.71,90.76,0.0,0.0,11.64,0.0,0,138.6
9.87,86.55,0.0,0.0,47.41,0.0,0,138.6
9.11,84.35,0.0,0.0,64.18,0.0,0,138.6
8.71,82.85,0.0,0.0,73.16,0.0,0,138.6
8.34,82.14,0.0,0.0,81.71,0.0,0,138.6
7.74,82.3,0.0,0.0,96.05,0.0,0,138.6
7.2,81.98,0.0,0.0,128.04,0.0,0,138.6
6.83,82.09,10.5,116.66,90.66,0.0,0,138.6
7.12,80.82,56.67,499.15,65.65,0.0,0,138.6
8.01,78.07,80.92,617.28,8.1,0.0,0,138.6
8.82,74.62,91.83,675.79,2.17,0.0,0,138.6
9.39,70.81,91.08,710.87,0.0,0.0,0,138.6
10.01,67.27,92.0,653.42,0.0,0.0,0,138.6
10.39,64.62,105.42,418.7,0.0,0.0,0,138.6
10.46,62.85,53.25,455.62,0.0,0.0,0,138.6
10.09,64.82,17.25,162.32,1.42,0.0,0,138.6
8.67,71.98,0.0,0.0,117.2,0.0,0,138.6
7.76,77.68,0.0,0.0,120.85,0.0,0,138.6
7.83,79.14,0.0,0.0,99.84,0.0,0,138.6
8.07,78.53,0.0,0.0,91.93,0.0,0,138.6
8.29,77.29,0.0,0.0,65.19,0.0,0,138.6
8.12,77.19,0.0,0.0,80.87,0.0,0,138.6
7.89,77.82,0.0,0.0,106.01,0.0,0,138.6
7.9,78.49,0.0,0.0,96.41,0.0,0,138.6
7.86,80.05,0.0,0.0,82.48,0.0,0,138.6
7.81,81.8,0.0,0.0,108.98,0.0,0,138.6
7.64,83.8,0.0,0.0,86.47,0.0,0,138.6
7.39,85.35,0.0,0.0,102.26,0.0,0,138.6
7.1,86.45,0.0,0.0,108.91,0.0,0,138.6
6.91,86.92,0.0,0.0,132.91,0.0,0,138.6
6.64,87.16,0.0,0.0,131.99,0.0,0,138.6
6.36,87.64,10.69,94.21,105.16,0.0,0,138.6
6.72,86.71,59.42,481.44,69.96,0.0,0,138.6
7.4,84.85,98.42,517.9,26.65,0.0,0,138.6
8.17,83.28,133.08,455.36,7.32,0.0,0,138.6
9.12,81.97,176.25,194.62,0.0,0.0,0,138.6
10.14,81.07,165.5,158.69,0.0,0.0,0,138.6
11.11,80.71,124.42,265.97,0.0,0.0,0,138.6
11.74,81.26,64.42,339.02,0.0,0.0,0,138.6
11.91,83.19,19.83,83.83,0.0,0.0,0,138.6
11.62,86.7,1.06,3.68,31.16,0.0,0,138.6
11.25,89.7,0.0,0.0,12.14,0.0,0,138.6
11.05,90.78,0.0,0.0,8.17,0.0,0,138.6
10.88,91.51,0.0,0.0,34.15,0.0,0,138.6
10.77,92.1,0.0,0.0,8.97,0.0,0,138.6
10.6,91.44,0.0,0.0,43.82,0.0,0,138.6
10.43,90.35,0.0,0.0,17.17,0.0,0,138.6
10.52,88.26,0.0,0.0,46.1,0.0,0,138.6
10.62,85.91,0.0,0.0,13.56,0.0,0,138.6
10.4,85.3,0.0,0.0,49.67,0.0,0,138.6
10.11,86.3,0.0,0.0,25.5,0.0,0,138.6
10.06,87.34,0.0,0.0,56.21,0.0,0,138.6
10.14,87.27,0.0,0.0,25.96,0.0,0,138.6
10.47,85.86,0.0,0.0,45.35,0.0,0,138.6
10.87,83.91,0.0,0.0,26.46,0.0,0,138.6
11.33,82.14,14.36,47.58,2.15,0.0,0,138.6
11.82,81.36,66.92,127.58,0.0,0.0,0,138.6
